payment_id,company_id,provider_type,amount,currency,payment_method,failure_category,failure_classification,event_hour,day_of_week,recovery_success
pay_synth_04400,demo_company_001,DEMO,270.35,INR,UPI,INSUFFICIENT_FUNDS,TEMPORARY,4,6,0
pay_synth_00384,demo_company_001,STRIPE,1863.9,INR,UPI,PROVIDER,TEMPORARY,7,3,0
pay_synth_02390,demo_company_001,RAZORPAY,1127.0,INR,UPI,INSUFFICIENT_FUNDS,TEMPORARY,17,3,0
pay_synth_02409,demo_company_001,STRIPE,8243.92,INR,UPI,UNKNOWN,UNKNOWN,23,5,0
pay_synth_00635,demo_company_001,DEMO,3805.33,INR,UPI,AUTHENTICATION,TEMPORARY,12,5,1
pay_synth_03111,demo_company_001,RAZORPAY,584.82,INR,CARD,INSUFFICIENT_FUNDS,TEMPORARY,14,5,1
pay_synth_01047,demo_company_001,DEMO,1809.59,INR,UPI,INSUFFICIENT_FUNDS,TEMPORARY,12,5,1
pay_synth_02536,demo_company_001,STRIPE,5469.89,INR,CARD,NETWORK,TEMPORARY,8,4,1
pay_synth_04451,demo_company_001,DEMO,304.87,INR,UPI,PROVIDER,TEMPORARY,8,4,1
pay_synth_00282,demo_company_001,DEMO,1049.87,INR,CARD,AUTHENTICATION,TEMPORARY,1,0,1
pay_synth_00562,demo_company_001,DEMO,592.83,INR,WALLET,TEMPORARY,TEMPORARY,21,0,1
pay_synth_02420,demo_company_001,DEMO,693.6,INR,CARD,AUTHENTICATION,TEMPORARY,23,3,1
pay_synth_04145,demo_company_001,STRIPE,4555.53,INR,CARD,NETWORK,TEMPORARY,2,1,1
pay_synth_04217,demo_company_001,DEMO,7471.9,INR,CARD,INSUFFICIENT_FUNDS,TEMPORARY,19,5,1
pay_synth_00795,demo_company_001,DEMO,1345.63,INR,CARD,INSUFFICIENT_FUNDS,TEMPORARY,17,6,1
pay_synth_01698,demo_company_001,DEMO,193.17,INR,UPI,CUSTOMER_ACTION_REQUIRED,TEMPORARY,13,4,1
pay_synth_01798,demo_company_001,DEMO,2090.42,INR,UPI,AUTHENTICATION,TEMPORARY,3,3,0
pay_synth_00573,demo_company_001,DEMO,4893.31,INR,NETBANKING,INSUFFICIENT_FUNDS,TEMPORARY,12,0,1
pay_synth_00600,demo_company_001,DEMO,1642.83,USD,CARD,AUTHENTICATION,TEMPORARY,7,5,1
pay_synth_00696,demo_company_001,RAZORPAY,3157.25,INR,UPI,BANK,TEMPORARY,8,1,0
pay_synth_01065,demo_company_001,DEMO,13087.13,INR,UPI,INSUFFICIENT_FUNDS,TEMPORARY,15,2,1
pay_synth_00189,demo_company_001,RAZORPAY,1374.87,INR,NETBANKING,INSUFFICIENT_FUNDS,TEMPORARY,2,3,1
pay_synth_03576,demo_company_001,DEMO,3469.74,INR,UPI,BANK,TEMPORARY,23,2,1
pay_synth_02555,demo_company_001,DEMO,716.19,INR,CARD,NETWORK,TEMPORARY,19,6,1
pay_synth_02298,demo_company_001,DEMO,2735.95,INR,CARD,NETWORK,TEMPORARY,11,6,1
pay_synth_04229,demo_company_001,DEMO,2365.0,USD,UPI,INSUFFICIENT_FUNDS,TEMPORARY,12,1,1
pay_synth_02109,demo_company_001,DEMO,3847.21,INR,NETBANKING,AUTHENTICATION,TEMPORARY,11,2,0
pay_synth_04488,demo_company_001,DEMO,763.24,INR,UPI,BANK,UNKNOWN,20,2,0
pay_synth_03352,demo_company_001,DEMO,1524.02,INR,UPI,INSUFFICIENT_FUNDS,TEMPORARY,20,0,0
pay_synth_01454,demo_company_001,RAZORPAY,1954.65,INR,UPI,AUTHENTICATION,TEMPORARY,10,6,1
pay_synth_00586,demo_company_001,DEMO,1782.24,INR,UPI,AUTHENTICATION,TEMPORARY,12,2,1
pay_synth_00651,demo_company_001,DEMO,447.32,INR,CARD,CUSTOMER_ACTION_REQUIRED,TEMPORARY,19,4,1
pay_synth_00385,demo_company_001,RAZORPAY,3175.98,INR,CARD,PROVIDER,TEMPORARY,23,4,0
pay_synth_02421,demo_company_001,DEMO,1190.31,INR,UPI,UNKNOWN,UNKNOWN,22,5,0
pay_synth_00614,demo_company_001,DEMO,2730.14,INR,UPI,AUTHENTICATION,TEMPORARY,9,3,1
pay_synth_00824,demo_company_001,DEMO,5744.35,INR,CARD,INSUFFICIENT_FUNDS,TEMPORARY,12,2,1
pay_synth_02223,demo_company_001,DEMO,921.84,INR,UPI,INSUFFICIENT_FUNDS,TEMPORARY,17,6,1
pay_synth_02155,demo_company_001,DEMO,1607.07,INR,UPI,NETWORK,TEMPORARY,7,2,1
pay_synth_01909,demo_company_001,DEMO,2864.14,INR,NETBANKING,AUTHENTICATION,TEMPORARY,18,5,0
pay_synth_00543,demo_company_001,DEMO,2560.0,INR,NETBANKING,CARD,PERMANENT,6,6,0
pay_synth_03389,demo_company_001,DEMO,3198.0,INR,CARD,NETWORK,TEMPORARY,15,3,1
pay_synth_00775,demo_company_001,RAZORPAY,5319.24,INR,UPI,INSUFFICIENT_FUNDS,TEMPORARY,3,1,0
pay_synth_03852,demo_company_001,DEMO,908.09,INR,CARD,NETWORK,TEMPORARY,23,2,1
pay_synth_02475,demo_company_001,RAZORPAY,759.9,INR,UPI,CARD,PERMANENT,6,5,0
pay_synth_03193,demo_company_001,STRIPE,894.54,INR,UPI,INSUFFICIENT_FUNDS,TEMPORARY,17,3,1
pay_synth_04589,demo_company_001,RAZORPAY,1779.18,INR,UPI,NETWORK,TEMPORARY,4,0,1
pay_synth_04869,demo_company_001,RAZORPAY,1739.99,INR,NETBANKING,INSUFFICIENT_FUNDS,TEMPORARY,12,5,1
pay_synth_03530,demo_company_001,DEMO,1458.66,INR,CARD,INSUFFICIENT_FUNDS,TEMPORARY,14,4,1
pay_synth_02811,demo_company_001,DEMO,4010.19,INR,UPI,INSUFFICIENT_FUNDS,TEMPORARY,16,2,1
pay_synth_03954,demo_company_001,DEMO,3391.54,INR,CARD,BANK,TEMPORARY,6,5,0
pay_synth_01118,demo_company_001,STRIPE,875.76,INR,WALLET,NETWORK,TEMPORARY,14,1,1
pay_synth_03924,demo_company_001,DEMO,316.29,INR,NETBANKING,INSUFFICIENT_FUNDS,TEMPORARY,2,6,1
pay_synth_02374,demo_company_001,DEMO,7307.03,INR,CARD,INSUFFICIENT_FUNDS,TEMPORARY,2,5,1
pay_synth_02345,demo_company_001,STRIPE,249.92,INR,CARD,AUTHENTICATION,TEMPORARY,6,3,0
pay_synth_02371,demo_company_001,RAZORPAY,2797.3,INR,CARD,INSUFFICIENT_FUNDS,TEMPORARY,23,4,1
pay_synth_02087,demo_company_001,DEMO,3040.9,INR,CARD,NETWORK,TEMPORARY,17,3,1
pay_synth_03075,demo_company_001,RAZORPAY,303.36,INR,NETBANKING,TEMPORARY,TEMPORARY,20,3,1
pay_synth_01766,demo_company_001,DEMO,274.73,INR,NETBANKING,NETWORK,TEMPORARY,3,5,1
pay_synth_03134,demo_company_001,RAZORPAY,2185.89,INR,UPI,AUTHENTICATION,TEMPORARY,12,6,1
pay_synth_00818,demo_company_001,DEMO,3361.04,INR,CARD,CARD,PERMANENT,21,3,0
pay_synth_02701,demo_company_001,RAZORPAY,3011.84,USD,WALLET,AUTHENTICATION,TEMPORARY,4,5,0
pay_synth_01905,demo_company_001,RAZORPAY,3069.32,USD,UPI,CARD,PERMANENT,20,6,0
pay_synth_00317,demo_company_001,DEMO,1029.66,INR,UPI,AUTHENTICATION,TEMPORARY,15,1,1
pay_synth_01791,demo_company_001,DEMO,734.01,INR,NETBANKING,BANK,TEMPORARY,13,1,1
pay_synth_03321,demo_company_001,RAZORPAY,1011.49,INR,UPI,CARD,PERMANENT,4,2,0
pay_synth_03579,demo_company_001,RAZORPAY,1088.51,INR,UPI,TEMPORARY,TEMPORARY,18,1,1
pay_synth_01579,demo_company_001,RAZORPAY,4062.8,INR,UPI,CARD,PERMANENT,21,4,0
pay_synth_04302,demo_company_001,STRIPE,2015.25,INR,CARD,NETWORK,TEMPORARY,10,3,1
pay_synth_03027,demo_company_001,STRIPE,486.85,INR,NETBANKING,INSUFFICIENT_FUNDS,TEMPORARY,19,0,0
pay_synth_00506,demo_company_001,DEMO,4361.54,INR,UPI,AUTHENTICATION,TEMPORARY,18,0,0
pay_synth_02017,demo_company_001,DEMO,1595.46,INR,UPI,INSUFFICIENT_FUNDS,TEMPORARY,16,4,1
pay_synth_03578,demo_company_001,DEMO,684.22,USD,UPI,AUTHENTICATION,TEMPORARY,23,0,1
pay_synth_04380,demo_company_001,RAZORPAY,3058.62,INR,UPI,INSUFFICIENT_FUNDS,TEMPORARY,5,0,1
pay_synth_03699,demo_company_001,STRIPE,419.62,INR,CARD,INSUFFICIENT_FUNDS,TEMPORARY,3,3,1
pay_synth_02490,demo_company_001,DEMO,2279.69,INR,NETBANKING,BANK,PERMANENT,11,5,0
pay_synth_03689,demo_company_001,DEMO,4850.31,INR,UPI,INSUFFICIENT_FUNDS,TEMPORARY,7,4,0
