payment_id,company_id,provider_type,amount,currency,payment_method,failure_category,failure_classification,event_hour,day_of_week,recovery_success
pay_synth_00001,demo_company_001,DEMO,4914.65,INR,UPI,AUTHENTICATION,TEMPORARY,17,0,0
pay_synth_00002,demo_company_001,STRIPE,8116.34,INR,CARD,AUTHENTICATION,TEMPORARY,0,1,1
pay_synth_00003,demo_company_001,RAZORPAY,2225.6,INR,NETBANKING,INSUFFICIENT_FUNDS,TEMPORARY,6,6,1
pay_synth_00004,demo_company_001,RAZORPAY,1466.77,INR,UPI,NETWORK,TEMPORARY,19,1,0
pay_synth_00005,demo_company_001,DEMO,4201.96,INR,NETBANKING,AUTHENTICATION,TEMPORARY,11,0,1
pay_synth_00006,demo_company_001,DEMO,735.56,USD,UPI,PROVIDER,TEMPORARY,7,3,1
pay_synth_00007,demo_company_001,DEMO,680.36,INR,CARD,INSUFFICIENT_FUNDS,TEMPORARY,7,1,1
pay_synth_00008,demo_company_001,STRIPE,569.59,INR,NETBANKING,NETWORK,TEMPORARY,23,1,1
pay_synth_00009,demo_company_001,RAZORPAY,5371.62,USD,UPI,CARD,PERMANENT,21,0,0
pay_synth_00010,demo_company_001,RAZORPAY,784.79,INR,UPI,CARD,PERMANENT,8,6,0
pay_synth_00011,demo_company_001,DEMO,4917.74,INR,UPI,PROVIDER,TEMPORARY,13,3,1
pay_synth_00012,demo_company_001,STRIPE,2097.39,INR,CARD,CARD,PERMANENT,19,5,0
pay_synth_00013,demo_company_001,STRIPE,5441.12,INR,CARD,CUSTOMER_ACTION_REQUIRED,TEMPORARY,4,3,0
pay_synth_00014,demo_company_001,DEMO,598.61,INR,CARD,AUTHENTICATION,TEMPORARY,19,2,1
pay_synth_00015,demo_company_001,DEMO,967.28,INR,UPI,NETWORK,TEMPORARY,20,3,1
pay_synth_00016,demo_company_001,DEMO,2846.91,INR,UPI,INSUFFICIENT_FUNDS,TEMPORARY,1,1,1
pay_synth_00017,demo_company_001,DEMO,1175.02,INR,UPI,INSUFFICIENT_FUNDS,TEMPORARY,20,4,0
pay_synth_00018,demo_company_001,RAZORPAY,149.4,INR,UPI,INSUFFICIENT_FUNDS,TEMPORARY,9,0,1
pay_synth_00019,demo_company_001,DEMO,458.4,INR,CARD,INSUFFICIENT_FUNDS,TEMPORARY,23,5,1
